date,Client_Type,Future_Index_Long,Future_Index_Short,Future_Stock_Long,Future_Stock_Short,Option_Index_Call_Long,Option_Index_Put_Long,Option_Index_Call_Short,Option_Index_Put_Short,Option_Stock_Call_Long,Option_Stock_Put_Long,Option_Stock_Call_Short,Option_Stock_Put_Short,Total_Long_Contracts,Total_Short_Contracts
19-05-2017,Client,188033,213161,947197,336608,388617,656765,632704,767682,328371,123743,233147,122710,2632726,2306012
19-05-2017,DII,18161,23992,31965,468444,142584,6465,0,0,1039,0,0,0,200214,492436
19-05-2017,FII,166144,81707,421081,670862,305483,393853,192365,123566,31779,22215,38915,19195,1340555,1126610
19-05-2017,Pro,15960,69438,170623,94952,194178,190706,205793,356542,54634,54090,143761,58143,680191,928629
