Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 3284.95, 3300.4, 3284.95, 3294.3, 548
2016-09-30 09:16:00, 3294.3, 3303, 3288.45, 3291.3, 1232
2016-09-30 09:17:00, 3291.3, 3305.95, 3290.1, 3293.1, 1131
2016-09-30 09:18:00, 3293.1, 3304.9, 3293.1, 3304.9, 1209
2016-09-30 09:19:00, 3302.9, 3307.45, 3294, 3294, 936
2016-09-30 09:20:00, 3295.5, 3295.5, 3268.05, 3268.05, 826
2016-09-30 09:22:00, 3270.75, 3271.8, 3265, 3265, 434
2016-09-30 09:21:00, 3264.45, 3270.75, 3250.05, 3270.75, 426
2016-09-30 09:23:00, 3265, 3270.4, 3264.5, 3270.35, 305
2016-09-30 09:24:00, 3268.1, 3272.85, 3267, 3272.85, 376
2016-09-30 09:26:00, 3277.85, 3299, 3277.85, 3299, 190
2016-09-30 09:25:00, 3269, 3277.85, 3269, 3277.85, 103
2016-09-30 09:28:00, 3297.7, 3298.7, 3296.6, 3298, 497
2016-09-30 09:29:00, 3296.6, 3297.7, 3296.6, 3296.95, 163
2016-09-30 09:27:00, 3299, 3299.45, 3296.55, 3297.7, 189
2016-09-30 09:30:00, 3296.95, 3299.5, 3296.95, 3297.2, 338
2016-09-30 09:31:00, 3297.2, 3300, 3297.2, 3300, 391
2016-09-30 09:32:00, 3299.1, 3301, 3293.75, 3293.75, 370
2016-09-30 09:33:00, 3293.75, 3297.25, 3293.75, 3296.1, 124
2016-09-30 09:34:00, 3296.1, 3299, 3296.1, 3296.95, 273
2016-09-30 09:35:00, 3296.95, 3298.2, 3296.3, 3298.2, 277
2016-09-30 09:36:00, 3298.2, 3298.2, 3280.75, 3283.2, 1695
2016-09-30 09:37:00, 3283.2, 3283.2, 3272.7, 3274.05, 1061
2016-09-30 09:38:00, 3274.75, 3278.15, 3274.5, 3277.8, 135
2016-09-30 09:39:00, 3277.8, 3280.8, 3277.8, 3280.8, 85
2016-09-30 09:40:00, 3281.55, 3283, 3281.2, 3283, 169
2016-09-30 09:41:00, 3283, 3286.85, 3282.05, 3286, 289
2016-09-30 09:43:00, 3293.75, 3294, 3283, 3283.6, 554
2016-09-30 09:42:00, 3286, 3293.75, 3286, 3293.75, 330
2016-09-30 09:44:00, 3287.1, 3287.55, 3283.2, 3285.4, 175
2016-09-30 09:45:00, 3285.4, 3285.4, 3282, 3283.7, 378
2016-09-30 09:46:00, 3283.8, 3288.75, 3283.8, 3288.75, 142
2016-09-30 09:48:00, 3287, 3288.35, 3285, 3285, 341
2016-09-30 09:47:00, 3288.75, 3288.75, 3286.5, 3288.4, 164
2016-09-30 09:49:00, 3285, 3285, 3281.35, 3282.75, 359
2016-09-30 09:50:00, 3282.75, 3286.35, 3282.75, 3284.8, 213
2016-09-30 09:51:00, 3284.8, 3286.65, 3284.4, 3285.85, 468
2016-09-30 09:53:00, 3285.05, 3287.45, 3281.65, 3285, 271
2016-09-30 09:52:00, 3285.85, 3290, 3285, 3285.05, 472
2016-09-30 09:54:00, 3285, 3285.1, 3282.15, 3284.4, 165
2016-09-30 09:55:00, 3284.4, 3294.1, 3283.75, 3290.85, 169
2016-09-30 09:56:00, 3290.85, 3293.55, 3285.95, 3288.8, 375
2016-09-30 09:57:00, 3288.8, 3288.8, 3285, 3288.6, 385
2016-09-30 09:58:00, 3288.6, 3288.6, 3286.1, 3287, 60
2016-09-30 09:59:00, 3287, 3287.45, 3286.15, 3287.45, 160
2016-09-30 10:00:00, 3287.45, 3287.45, 3283, 3283, 234
2016-09-30 10:01:00, 3283, 3287.55, 3283, 3287, 232
2016-09-30 10:02:00, 3287, 3288, 3285.1, 3287.75, 214
