Date,Open,High,Low,Close,Volume
2016-09-30 09:15:00, 227.05, 229.85, 227.05, 229, 6902
2016-09-30 09:16:00, 229.1, 229.15, 229, 229.15, 10596
2016-09-30 09:17:00, 229.2, 230.4, 229.2, 230.1, 3765
2016-09-30 09:18:00, 230.1, 230.45, 230.1, 230.15, 1860
2016-09-30 09:19:00, 230.15, 230.2, 229.35, 229.7, 16421
2016-09-30 09:20:00, 229.5, 229.6, 226.3, 226.3, 10520
2016-09-30 09:21:00, 226.3, 226.75, 226.15, 226.75, 4330
2016-09-30 09:22:00, 226.75, 228.1, 226.75, 228.1, 3235
2016-09-30 09:23:00, 228.1, 229.25, 228.1, 228.95, 1943
2016-09-30 09:24:00, 229, 229.25, 228.4, 228.45, 2584
2016-09-30 09:25:00, 228.3, 228.35, 227.9, 228.25, 8007
2016-09-30 09:26:00, 228.25, 229.1, 228, 229.1, 1158
2016-09-30 09:27:00, 229.2, 229.6, 229.2, 229.6, 774
2016-09-30 09:28:00, 229.7, 229.95, 229.7, 229.8, 1203
2016-09-30 09:29:00, 229.8, 229.8, 229.2, 229.4, 3083
2016-09-30 09:30:00, 229.5, 229.95, 229.5, 229.95, 812
2016-09-30 09:31:00, 229.95, 229.95, 229.5, 229.5, 834
2016-09-30 09:32:00, 229.5, 229.55, 229.45, 229.45, 499
2016-09-30 09:33:00, 229.8, 229.85, 229.45, 229.45, 2120
2016-09-30 09:34:00, 229.45, 229.55, 229.4, 229.45, 812
2016-09-30 09:36:00, 229.45, 229.55, 229.45, 229.45, 472
2016-09-30 09:35:00, 229.45, 229.45, 229.3, 229.45, 1416
2016-09-30 09:37:00, 229.45, 229.6, 229.45, 229.55, 2679
2016-09-30 09:38:00, 229.55, 229.7, 229.5, 229.7, 1787
2016-09-30 09:39:00, 229.7, 229.75, 229.65, 229.65, 262
2016-09-30 09:40:00, 229.65, 230.15, 229.65, 230.15, 1525
2016-09-30 09:41:00, 230.2, 230.3, 230.2, 230.3, 304
2016-09-30 09:42:00, 230.4, 230.55, 230.2, 230.55, 1700
2016-09-30 09:43:00, 230.6, 231, 230.6, 230.9, 2133
2016-09-30 09:44:00, 230.9, 230.9, 230.7, 230.7, 2005
2016-09-30 09:45:00, 230.7, 230.75, 230.7, 230.7, 1373
2016-09-30 09:46:00, 230.7, 230.9, 230.7, 230.9, 827
2016-09-30 09:47:00, 230.9, 230.95, 230.9, 230.95, 462
2016-09-30 09:48:00, 230.95, 231, 230.85, 230.85, 2341
2016-09-30 09:49:00, 231.2, 231.2, 230.85, 231, 1325
2016-09-30 09:50:00, 230.9, 230.9, 230.85, 230.85, 261
2016-09-30 09:51:00, 230.85, 231.15, 230.85, 231.1, 972
2016-09-30 09:52:00, 231, 231.1, 230.3, 230.3, 2609
2016-09-30 09:53:00, 230.3, 230.3, 230.25, 230.25, 3811
2016-09-30 09:54:00, 230.25, 230.45, 229.7, 229.8, 9828
2016-09-30 09:55:00, 229.8, 229.8, 229.65, 229.65, 341
2016-09-30 09:56:00, 229.65, 229.65, 229.2, 229.25, 2024
2016-09-30 09:57:00, 229.4, 229.4, 229.2, 229.25, 1547
2016-09-30 09:58:00, 229.25, 229.55, 229.25, 229.55, 742
2016-09-30 09:59:00, 229.5, 229.85, 229.5, 229.85, 526
2016-09-30 10:00:00, 229.85, 230, 229.85, 229.9, 636
2016-09-30 10:01:00, 229.9, 230, 229.9, 229.95, 6620
2016-09-30 10:02:00, 229.95, 230, 229.4, 229.55, 2125
2016-09-30 10:03:00, 229.55, 229.55, 229.45, 229.45, 1391
2016-09-30 10:04:00, 229.45, 229.5, 229.45, 229.5, 50
2016-09-30 10:05:00, 229.5, 229.65, 229.5, 229.65, 709
2016-09-30 10:06:00, 229.65, 229.85, 229.6, 229.85, 384
2016-09-30 10:07:00, 229.85, 230.4, 229.85, 230.35, 3137
2016-09-30 10:08:00, 230.35, 230.5, 230.35, 230.5, 1316
2016-09-30 10:09:00, 230.55, 230.55, 230.5, 230.55, 1172
2016-09-30 10:10:00, 230.7, 230.7, 230.5, 230.65, 792
2016-09-30 10:11:00, 230.75, 230.9, 230.75, 230.9, 1377
2016-09-30 10:12:00, 230.9, 231.5, 230.9, 231.5, 4541
2016-09-30 10:13:00, 231.3, 232.5, 231.3, 232.5, 11720
2016-09-30 10:14:00, 232.35, 232.5, 231.8, 231.8, 3941
2016-09-30 10:15:00, 231.8, 231.8, 231.65, 231.65, 173
2016-09-30 10:16:00, 231.65, 231.75, 231.2, 231.3, 1540
2016-09-30 10:17:00, 231.3, 231.4, 231.25, 231.4, 1358
2016-09-30 10:18:00, 231.4, 231.5, 231.25, 231.5, 1330
2016-09-30 10:19:00, 231.5, 231.75, 231.5, 231.7, 1604
2016-09-30 10:20:00, 231.75, 231.8, 231.65, 231.7, 813
2016-09-30 10:21:00, 231.9, 232.25, 231.85, 232.05, 1758
2016-09-30 10:22:00, 232.05, 232.15, 231.95, 232.1, 2051
2016-09-30 10:23:00, 232.1, 232.2, 232.05, 232.2, 1937
2016-09-30 10:24:00, 232.25, 232.45, 232.2, 232.3, 803
2016-09-30 10:25:00, 232.3, 232.3, 232, 232, 3166
2016-09-30 10:26:00, 232, 232, 231.85, 231.85, 281
2016-09-30 10:27:00, 231.85, 232.2, 231.85, 232.2, 1987
2016-09-30 10:28:00, 232.2, 232.25, 232.1, 232.2, 736
2016-09-30 10:29:00, 232.2, 232.25, 232, 232, 1119
2016-09-30 10:30:00, 232.05, 232.05, 232, 232.05, 364
2016-09-30 10:31:00, 232, 232.1, 232, 232.05, 812
2016-09-30 10:32:00, 231.95, 232.15, 231.95, 232.05, 1233
2016-09-30 10:33:00, 232.05, 232.4, 232.05, 232.2, 1254
2016-09-30 10:34:00, 232.2, 232.2, 232.2, 232.2, 39
2016-09-30 10:35:00, 232.2, 232.55, 232.2, 232.55, 1578
2016-09-30 10:36:00, 232.55, 232.55, 232.4, 232.4, 331
2016-09-30 10:37:00, 232.4, 232.4, 232.05, 232.05, 2422
2016-09-30 10:38:00, 232.05, 232.2, 232, 232, 1509
2016-09-30 10:39:00, 232, 232.05, 232, 232.05, 104
2016-09-30 10:40:00, 232.1, 232.1, 232.05, 232.05, 468
2016-09-30 10:41:00, 232.05, 232.05, 232, 232, 470
2016-09-30 10:42:00, 232, 232, 231.85, 231.85, 919
2016-09-30 10:43:00, 231.85, 232.05, 231.85, 231.9, 519
